Time=0 | UART TX = 1 | send_uart = 0 | bits_sent = xxxx | Distance =     0
Time=7708992000 | UART TX = 1 | send_uart = 0 | bits_sent = 0110 | Distance =     0
Time=7813167000 | UART TX = 0 | send_uart = 0 | bits_sent = 0111 | Distance =     0
Time=7917342000 | UART TX = 0 | send_uart = 0 | bits_sent = 1000 | Distance =     0
Time=8001265000 | UART TX = 0 | send_uart = 1 | bits_sent = 1000 | Distance =     0
Time=8001348000 | UART TX = 0 | send_uart = 0 | bits_sent = 1000 | Distance =     0
Time=8021517000 | UART TX = 1 | send_uart = 0 | bits_sent = 0000 | Distance =     0
Time=8125692000 | UART TX = 0 | send_uart = 0 | bits_sent = 0000 | Distance =     0
Time=8229867000 | UART TX = 0 | send_uart = 0 | bits_sent = 0001 | Distance =     0
Time=8334042000 | UART TX = 0 | send_uart = 0 | bits_sent = 0010 | Distance =     0
Time=8438217000 | UART TX = 0 | send_uart = 0 | bits_sent = 0011 | Distance =     0
Time=8542392000 | UART TX = 0 | send_uart = 0 | bits_sent = 0100 | Distance =     0
Time=8646567000 | UART TX = 1 | send_uart = 0 | bits_sent = 0101 | Distance =     0
Time=8750742000 | UART TX = 1 | send_uart = 0 | bits_sent = 0110 | Distance =     0
Time=8854917000 | UART TX = 0 | send_uart = 0 | bits_sent = 0111 | Distance =     0
Time=8959092000 | UART TX = 0 | send_uart = 0 | bits_sent = 1000 | Distance =     0
Time=9001428000 | UART TX = 0 | send_uart = 1 | bits_sent = 1000 | Distance =     0
Time=9001512000 | UART TX = 0 | send_uart = 0 | bits_sent = 1000 | Distance =     0
Time=9063267000 | UART TX = 1 | send_uart = 0 | bits_sent = 0000 | Distance =     0
Time=9167442000 | UART TX = 0 | send_uart = 0 | bits_sent = 0000 | Distance =     0
Time=9271617000 | UART TX = 0 | send_uart = 0 | bits_sent = 0001 | Distance =     0
Time=9375792000 | UART TX = 1 | send_uart = 0 | bits_sent = 0010 | Distance =     0
Time=9479967000 | UART TX = 0 | send_uart = 0 | bits_sent = 0011 | Distance =     0
Time=9584142000 | UART TX = 1 | send_uart = 0 | bits_sent = 0100 | Distance =     0
Time=9688317000 | UART TX = 0 | send_uart = 0 | bits_sent = 0101 | Distance =     0
Time=9792492000 | UART TX = 0 | send_uart = 0 | bits_sent = 0110 | Distance =     0
Time=9896667000 | UART TX = 0 | send_uart = 0 | bits_sent = 0111 | Distance =     0
Time=10000842000 | UART TX = 0 | send_uart = 0 | bits_sent = 1000 | Distance =     0
Time=10001592000 | UART TX = 0 | send_uart = 1 | bits_sent = 1000 | Distance =     0
Time=10001675000 | UART TX = 0 | send_uart = 0 | bits_sent = 1000 | Distance =     0
Time=10105017000 | UART TX = 1 | send_uart = 0 | bits_sent = 0000 | Distance =     0
Time=11001755000 | UART TX = 1 | send_uart = 1 | bits_sent = 0000 | Distance =     0
Time=11001838000 | UART TX = 1 | send_uart = 0 | bits_sent = 0000 | Distance =     0
Time=11042592000 | UART TX = 0 | send_uart = 0 | bits_sent = 0000 | Distance =     0
Time=11146767000 | UART TX = 0 | send_uart = 0 | bits_sent = 0001 | Distance =     0
Time=11250942000 | UART TX = 0 | send_uart = 0 | bits_sent = 0010 | Distance =     0
Time=11355117000 | UART TX = 0 | send_uart = 0 | bits_sent = 0011 | Distance =     0
Time=11459292000 | UART TX = 0 | send_uart = 0 | bits_sent = 0100 | Distance =     0
Time=11563467000 | UART TX = 1 | send_uart = 0 | bits_sent = 0101 | Distance =     0
Time=11667642000 | UART TX = 1 | send_uart = 0 | bits_sent = 0110 | Distance =     0
Time=11771817000 | UART TX = 0 | send_uart = 0 | bits_sent = 0111 | Distance =     0
Time=11875992000 | UART TX = 0 | send_uart = 0 | bits_sent = 1000 | Distance =     0
Time=11980167000 | UART TX = 1 | send_uart = 0 | bits_sent = 0000 | Distance =     0
Time=12001918000 | UART TX = 1 | send_uart = 1 | bits_sent = 0000 | Distance =     0
Time=12002002000 | UART TX = 1 | send_uart = 0 | bits_sent = 0000 | Distance =     0
Time=12084342000 | UART TX = 0 | send_uart = 0 | bits_sent = 0000 | Distance =     0
Time=12188517000 | UART TX = 0 | send_uart = 0 | bits_sent = 0001 | Distance =     0
Time=12292692000 | UART TX = 0 | send_uart = 0 | bits_sent = 0010 | Distance =     0
Time=12396867000 | UART TX = 0 | send_uart = 0 | bits_sent = 0011 | Distance =     0
Time=12501042000 | UART TX = 0 | send_uart = 0 | bits_sent = 0100 | Distance =     0
Time=12605217000 | UART TX = 1 | send_uart = 0 | bits_sent = 0101 | Distance =     0
Time=12709392000 | UART TX = 1 | send_uart = 0 | bits_sent = 0110 | Distance =     0
Time=12813567000 | UART TX = 0 | send_uart = 0 | bits_sent = 0111 | Distance =     0
Time=12917742000 | UART TX = 0 | send_uart = 0 | bits_sent = 1000 | Distance =     0
Time=13002082000 | UART TX = 0 | send_uart = 1 | bits_sent = 1000 | Distance =     0
Time=13002165000 | UART TX = 0 | send_uart = 0 | bits_sent = 1000 | Distance =     0
Time=13021917000 | UART TX = 1 | send_uart = 0 | bits_sent = 0000 | Distance =     0
Time=13126092000 | UART TX = 0 | send_uart = 0 | bits_sent = 0000 | Distance =     0
Time=13230267000 | UART TX = 0 | send_uart = 0 | bits_sent = 0001 | Distance =     0
Time=13334442000 | UART TX = 0 | send_uart = 0 | bits_sent = 0010 | Distance =     0
Time=13438617000 | UART TX = 0 | send_uart = 0 | bits_sent = 0011 | Distance =     0
Time=13542792000 | UART TX = 0 | send_uart = 0 | bits_sent = 0100 | Distance =     0
Time=13583545000 | UART TX = 0 | send_uart = 0 | bits_sent = 0100 | Distance =   234
Time=13646967000 | UART TX = 1 | send_uart = 0 | bits_sent = 0101 | Distance =   234
Time=13751142000 | UART TX = 1 | send_uart = 0 | bits_sent = 0110 | Distance =   234
Time=13855317000 | UART TX = 0 | send_uart = 0 | bits_sent = 0111 | Distance =   234
Time=13959492000 | UART TX = 0 | send_uart = 0 | bits_sent = 1000 | Distance =   234
Time=14002245000 | UART TX = 0 | send_uart = 1 | bits_sent = 1000 | Distance =   234
Time=14002328000 | UART TX = 0 | send_uart = 0 | bits_sent = 1000 | Distance =   234
Time=14063667000 | UART TX = 1 | send_uart = 0 | bits_sent = 0000 | Distance =   234
Time=14083128000: First Distance = 234 cm
Time=14167842000 | UART TX = 0 | send_uart = 0 | bits_sent = 0000 | Distance =   234
Time=14272017000 | UART TX = 0 | send_uart = 0 | bits_sent = 0001 | Distance =   234
Time=14376192000 | UART TX = 1 | send_uart = 0 | bits_sent = 0010 | Distance =   234
Time=14480367000 | UART TX = 0 | send_uart = 0 | bits_sent = 0011 | Distance =   234
Time=14584542000 | UART TX = 1 | send_uart = 0 | bits_sent = 0100 | Distance =   234
Time=14688717000 | UART TX = 0 | send_uart = 0 | bits_sent = 0101 | Distance =   234
Time=14792892000 | UART TX = 0 | send_uart = 0 | bits_sent = 0110 | Distance =   234
Time=14897067000 | UART TX = 0 | send_uart = 0 | bits_sent = 0111 | Distance =   234
Time=15001242000 | UART TX = 0 | send_uart = 0 | bits_sent = 1000 | Distance =   234
Time=15002408000 | UART TX = 0 | send_uart = 1 | bits_sent = 1000 | Distance =   234
Time=15002492000 | UART TX = 0 | send_uart = 0 | bits_sent = 1000 | Distance =   234
Time=15105417000 | UART TX = 1 | send_uart = 0 | bits_sent = 0000 | Distance =   234
Time=16002572000 | UART TX = 1 | send_uart = 1 | bits_sent = 0000 | Distance =   234
Time=16002655000 | UART TX = 1 | send_uart = 0 | bits_sent = 0000 | Distance =   234
Time=16042992000 | UART TX = 0 | send_uart = 0 | bits_sent = 0000 | Distance =   234
Time=16147167000 | UART TX = 0 | send_uart = 0 | bits_sent = 0001 | Distance =   234
Time=16251342000 | UART TX = 1 | send_uart = 0 | bits_sent = 0010 | Distance =   234
Time=16355517000 | UART TX = 0 | send_uart = 0 | bits_sent = 0011 | Distance =   234
Time=16459692000 | UART TX = 0 | send_uart = 0 | bits_sent = 0100 | Distance =   234
Time=16563867000 | UART TX = 1 | send_uart = 0 | bits_sent = 0101 | Distance =   234
Time=16668042000 | UART TX = 1 | send_uart = 0 | bits_sent = 0110 | Distance =   234
Time=16772217000 | UART TX = 0 | send_uart = 0 | bits_sent = 0111 | Distance =   234
Time=16876392000 | UART TX = 0 | send_uart = 0 | bits_sent = 1000 | Distance =   234
Time=16980567000 | UART TX = 1 | send_uart = 0 | bits_sent = 0000 | Distance =   234
Time=17002735000 | UART TX = 1 | send_uart = 1 | bits_sent = 0000 | Distance =   234
Time=17002818000 | UART TX = 1 | send_uart = 0 | bits_sent = 0000 | Distance =   234
Time=17084742000 | UART TX = 0 | send_uart = 0 | bits_sent = 0000 | Distance =   234
Time=17188917000 | UART TX = 1 | send_uart = 0 | bits_sent = 0001 | Distance =   234
Time=17293092000 | UART TX = 1 | send_uart = 0 | bits_sent = 0010 | Distance =   234
Time=17397267000 | UART TX = 0 | send_uart = 0 | bits_sent = 0011 | Distance =   234
Time=17501442000 | UART TX = 0 | send_uart = 0 | bits_sent = 0100 | Distance =   234
Time=17605617000 | UART TX = 1 | send_uart = 0 | bits_sent = 0101 | Distance =   234
Time=17709792000 | UART TX = 1 | send_uart = 0 | bits_sent = 0110 | Distance =   234
Time=17813967000 | UART TX = 0 | send_uart = 0 | bits_sent = 0111 | Distance =   234
Time=17918142000 | UART TX = 0 | send_uart = 0 | bits_sent = 1000 | Distance =   234
Time=18002898000 | UART TX = 0 | send_uart = 1 | bits_sent = 1000 | Distance =   234
Time=18002982000 | UART TX = 0 | send_uart = 0 | bits_sent = 1000 | Distance =   234
Time=18022317000 | UART TX = 1 | send_uart = 0 | bits_sent = 0000 | Distance =   234
Time=18126492000 | UART TX = 0 | send_uart = 0 | bits_sent = 0000 | Distance =   234
Time=18230667000 | UART TX = 0 | send_uart = 0 | bits_sent = 0001 | Distance =   234
Time=18334842000 | UART TX = 0 | send_uart = 0 | bits_sent = 0010 | Distance =   234
Time=18439017000 | UART TX = 1 | send_uart = 0 | bits_sent = 0011 | Distance =   234
Time=18543192000 | UART TX = 0 | send_uart = 0 | bits_sent = 0100 | Distance =   234
Time=18647367000 | UART TX = 1 | send_uart = 0 | bits_sent = 0101 | Distance =   234
Time=18751542000 | UART TX = 1 | send_uart = 0 | bits_sent = 0110 | Distance =   234
Time=18855717000 | UART TX = 0 | send_uart = 0 | bits_sent = 0111 | Distance =   234
Time=18959892000 | UART TX = 0 | send_uart = 0 | bits_sent = 1000 | Distance =   234
Time=19003062000 | UART TX = 0 | send_uart = 1 | bits_sent = 1000 | Distance =   234
Time=19003145000 | UART TX = 0 | send_uart = 0 | bits_sent = 1000 | Distance =   234
Time=19064067000 | UART TX = 1 | send_uart = 0 | bits_sent = 0000 | Distance =   234
Time=19168242000 | UART TX = 0 | send_uart = 0 | bits_sent = 0000 | Distance =   234
Time=19272417000 | UART TX = 0 | send_uart = 0 | bits_sent = 0001 | Distance =   234
Time=19376592000 | UART TX = 1 | send_uart = 0 | bits_sent = 0010 | Distance =   234
Time=19480767000 | UART TX = 0 | send_uart = 0 | bits_sent = 0011 | Distance =   234
Time=19584942000 | UART TX = 1 | send_uart = 0 | bits_sent = 0100 | Distance =   234
Time=19689117000 | UART TX = 0 | send_uart = 0 | bits_sent = 0101 | Distance =   234
Time=19793292000 | UART TX = 0 | send_uart = 0 | bits_sent = 0110 | Distance =   234
Time=19897467000 | UART TX = 0 | send_uart = 0 | bits_sent = 0111 | Distance =   234
Time=20001642000 | UART TX = 0 | send_uart = 0 | bits_sent = 1000 | Distance =   234
Time=20003225000 | UART TX = 0 | send_uart = 1 | bits_sent = 1000 | Distance =   234
Time=20003308000 | UART TX = 0 | send_uart = 0 | bits_sent = 1000 | Distance =   234
Time=20105817000 | UART TX = 1 | send_uart = 0 | bits_sent = 0000 | Distance =   234
Time=21003388000 | UART TX = 1 | send_uart = 1 | bits_sent = 0000 | Distance =   234
Time=21003472000 | UART TX = 1 | send_uart = 0 | bits_sent = 0000 | Distance =   234
Time=21043392000 | UART TX = 0 | send_uart = 0 | bits_sent = 0000 | Distance =   234
Time=21147567000 | UART TX = 0 | send_uart = 0 | bits_sent = 0001 | Distance =   234
Time=21251742000 | UART TX = 1 | send_uart = 0 | bits_sent = 0010 | Distance =   234
Time=21355917000 | UART TX = 0 | send_uart = 0 | bits_sent = 0011 | Distance =   234
Time=21460092000 | UART TX = 0 | send_uart = 0 | bits_sent = 0100 | Distance =   234
Time=21564267000 | UART TX = 1 | send_uart = 0 | bits_sent = 0101 | Distance =   234
Time=21668442000 | UART TX = 1 | send_uart = 0 | bits_sent = 0110 | Distance =   234
Time=21772617000 | UART TX = 0 | send_uart = 0 | bits_sent = 0111 | Distance =   234
Time=21876792000 | UART TX = 0 | send_uart = 0 | bits_sent = 1000 | Distance =   234
Time=21980967000 | UART TX = 1 | send_uart = 0 | bits_sent = 0000 | Distance =   234
Time=22003552000 | UART TX = 1 | send_uart = 1 | bits_sent = 0000 | Distance =   234
Time=22003635000 | UART TX = 1 | send_uart = 0 | bits_sent = 0000 | Distance =   234
Time=22085142000 | UART TX = 0 | send_uart = 0 | bits_sent = 0000 | Distance =   234
Time=22189317000 | UART TX = 1 | send_uart = 0 | bits_sent = 0001 | Distance =   234
Time=22293492000 | UART TX = 1 | send_uart = 0 | bits_sent = 0010 | Distance =   234
Time=22397667000 | UART TX = 0 | send_uart = 0 | bits_sent = 0011 | Distance =   234
Time=22501842000 | UART TX = 0 | send_uart = 0 | bits_sent = 0100 | Distance =   234
Time=22606017000 | UART TX = 1 | send_uart = 0 | bits_sent = 0101 | Distance =   234
Time=22710192000 | UART TX = 1 | send_uart = 0 | bits_sent = 0110 | Distance =   234
Time=22814367000 | UART TX = 0 | send_uart = 0 | bits_sent = 0111 | Distance =   234
Time=22918542000 | UART TX = 0 | send_uart = 0 | bits_sent = 1000 | Distance =   234
Time=23003715000 | UART TX = 0 | send_uart = 1 | bits_sent = 1000 | Distance =   234
Time=23003798000 | UART TX = 0 | send_uart = 0 | bits_sent = 1000 | Distance =   234
Time=23022717000 | UART TX = 1 | send_uart = 0 | bits_sent = 0000 | Distance =   234
Time=23126892000 | UART TX = 0 | send_uart = 0 | bits_sent = 0000 | Distance =   234
Time=23231067000 | UART TX = 0 | send_uart = 0 | bits_sent = 0001 | Distance =   234
Time=23335242000 | UART TX = 0 | send_uart = 0 | bits_sent = 0010 | Distance =   234
Time=23439417000 | UART TX = 1 | send_uart = 0 | bits_sent = 0011 | Distance =   234
Time=23543592000 | UART TX = 0 | send_uart = 0 | bits_sent = 0100 | Distance =   234
Time=23647767000 | UART TX = 1 | send_uart = 0 | bits_sent = 0101 | Distance =   234
Time=23751942000 | UART TX = 1 | send_uart = 0 | bits_sent = 0110 | Distance =   234
Time=23856117000 | UART TX = 0 | send_uart = 0 | bits_sent = 0111 | Distance =   234
Time=23960292000 | UART TX = 0 | send_uart = 0 | bits_sent = 1000 | Distance =   234
Time=24003878000 | UART TX = 0 | send_uart = 1 | bits_sent = 1000 | Distance =   234
Time=24003962000 | UART TX = 0 | send_uart = 0 | bits_sent = 1000 | Distance =   234
Time=24064467000 | UART TX = 1 | send_uart = 0 | bits_sent = 0000 | Distance =   234
Time=24168642000 | UART TX = 0 | send_uart = 0 | bits_sent = 0000 | Distance =   234
Time=24272817000 | UART TX = 0 | send_uart = 0 | bits_sent = 0001 | Distance =   234
Time=24376992000 | UART TX = 1 | send_uart = 0 | bits_sent = 0010 | Distance =   234
Time=24481167000 | UART TX = 0 | send_uart = 0 | bits_sent = 0011 | Distance =   234
Time=24585342000 | UART TX = 1 | send_uart = 0 | bits_sent = 0100 | Distance =   234
Time=24689517000 | UART TX = 0 | send_uart = 0 | bits_sent = 0101 | Distance =   234
Time=24793692000 | UART TX = 0 | send_uart = 0 | bits_sent = 0110 | Distance =   234
Time=24897867000 | UART TX = 0 | send_uart = 0 | bits_sent = 0111 | Distance =   234
Time=25002042000 | UART TX = 0 | send_uart = 0 | bits_sent = 1000 | Distance =   234
Time=25004042000 | UART TX = 0 | send_uart = 1 | bits_sent = 1000 | Distance =   234
Time=25004125000 | UART TX = 0 | send_uart = 0 | bits_sent = 1000 | Distance =   234
Time=25106217000 | UART TX = 1 | send_uart = 0 | bits_sent = 0000 | Distance =   234
Time=26004205000 | UART TX = 1 | send_uart = 1 | bits_sent = 0000 | Distance =   234
Time=26004289000 | UART TX = 1 | send_uart = 0 | bits_sent = 0000 | Distance =   234
Time=26043792000 | UART TX = 0 | send_uart = 0 | bits_sent = 0000 | Distance =   234
Time=26147967000 | UART TX = 0 | send_uart = 0 | bits_sent = 0001 | Distance =   234
Time=26252142000 | UART TX = 1 | send_uart = 0 | bits_sent = 0010 | Distance =   234
Time=26356317000 | UART TX = 0 | send_uart = 0 | bits_sent = 0011 | Distance =   234
Time=26460492000 | UART TX = 0 | send_uart = 0 | bits_sent = 0100 | Distance =   234
Time=26564667000 | UART TX = 1 | send_uart = 0 | bits_sent = 0101 | Distance =   234
Time=26668842000 | UART TX = 1 | send_uart = 0 | bits_sent = 0110 | Distance =   234
Time=26773017000 | UART TX = 0 | send_uart = 0 | bits_sent = 0111 | Distance =   234
Time=26877192000 | UART TX = 0 | send_uart = 0 | bits_sent = 1000 | Distance =   234
Time=26981367000 | UART TX = 1 | send_uart = 0 | bits_sent = 0000 | Distance =   234
Time=27004369000 | UART TX = 1 | send_uart = 1 | bits_sent = 0000 | Distance =   234
Time=27004452000 | UART TX = 1 | send_uart = 0 | bits_sent = 0000 | Distance =   234
Time=27085542000 | UART TX = 0 | send_uart = 0 | bits_sent = 0000 | Distance =   234
Time=27189717000 | UART TX = 1 | send_uart = 0 | bits_sent = 0001 | Distance =   234
Time=27293892000 | UART TX = 1 | send_uart = 0 | bits_sent = 0010 | Distance =   234
Time=27398067000 | UART TX = 0 | send_uart = 0 | bits_sent = 0011 | Distance =   234
Time=27502242000 | UART TX = 0 | send_uart = 0 | bits_sent = 0100 | Distance =   234
Time=27606417000 | UART TX = 1 | send_uart = 0 | bits_sent = 0101 | Distance =   234
Time=27710592000 | UART TX = 1 | send_uart = 0 | bits_sent = 0110 | Distance =   234
Time=27814767000 | UART TX = 0 | send_uart = 0 | bits_sent = 0111 | Distance =   234
Time=27918942000 | UART TX = 0 | send_uart = 0 | bits_sent = 1000 | Distance =   234
Time=28004532000 | UART TX = 0 | send_uart = 1 | bits_sent = 1000 | Distance =   234
Time=28004615000 | UART TX = 0 | send_uart = 0 | bits_sent = 1000 | Distance =   234
Time=28023117000 | UART TX = 1 | send_uart = 0 | bits_sent = 0000 | Distance =   234
Time=28127292000 | UART TX = 0 | send_uart = 0 | bits_sent = 0000 | Distance =   234
Time=28231467000 | UART TX = 0 | send_uart = 0 | bits_sent = 0001 | Distance =   234
Time=28335642000 | UART TX = 0 | send_uart = 0 | bits_sent = 0010 | Distance =   234
Time=28439817000 | UART TX = 1 | send_uart = 0 | bits_sent = 0011 | Distance =   234
Time=28543992000 | UART TX = 0 | send_uart = 0 | bits_sent = 0100 | Distance =   234
Time=28648167000 | UART TX = 1 | send_uart = 0 | bits_sent = 0101 | Distance =   234
Time=28752342000 | UART TX = 1 | send_uart = 0 | bits_sent = 0110 | Distance =   234
Time=28856517000 | UART TX = 0 | send_uart = 0 | bits_sent = 0111 | Distance =   234
Time=28960692000 | UART TX = 0 | send_uart = 0 | bits_sent = 1000 | Distance =   234
Time=29004695000 | UART TX = 0 | send_uart = 1 | bits_sent = 1000 | Distance =   234
Time=29004779000 | UART TX = 0 | send_uart = 0 | bits_sent = 1000 | Distance =   234
Time=29064867000 | UART TX = 1 | send_uart = 0 | bits_sent = 0000 | Distance =   234
Time=29083368000: Second trigger detected
Time=29169042000 | UART TX = 0 | send_uart = 0 | bits_sent = 0000 | Distance =   234
Time=29273217000 | UART TX = 0 | send_uart = 0 | bits_sent = 0001 | Distance =   234
Time=29377392000 | UART TX = 1 | send_uart = 0 | bits_sent = 0010 | Distance =   234
Time=29481567000 | UART TX = 0 | send_uart = 0 | bits_sent = 0011 | Distance =   234
Time=29585742000 | UART TX = 1 | send_uart = 0 | bits_sent = 0100 | Distance =   234
Time=29689917000 | UART TX = 0 | send_uart = 0 | bits_sent = 0101 | Distance =   234
Time=29794092000 | UART TX = 0 | send_uart = 0 | bits_sent = 0110 | Distance =   234
Time=29898267000 | UART TX = 0 | send_uart = 0 | bits_sent = 0111 | Distance =   234
Time=30002442000 | UART TX = 0 | send_uart = 0 | bits_sent = 1000 | Distance =   234
Time=30004859000 | UART TX = 0 | send_uart = 1 | bits_sent = 1000 | Distance =   234
Time=30004942000 | UART TX = 0 | send_uart = 0 | bits_sent = 1000 | Distance =   234
Time=30106617000 | UART TX = 1 | send_uart = 0 | bits_sent = 0000 | Distance =   234
Time=31005022000 | UART TX = 1 | send_uart = 1 | bits_sent = 0000 | Distance =   234
Time=31005105000 | UART TX = 1 | send_uart = 0 | bits_sent = 0000 | Distance =   234
Time=31044192000 | UART TX = 0 | send_uart = 0 | bits_sent = 0000 | Distance =   234
Time=31148367000 | UART TX = 0 | send_uart = 0 | bits_sent = 0001 | Distance =   234
Time=31252542000 | UART TX = 1 | send_uart = 0 | bits_sent = 0010 | Distance =   234
Time=31356717000 | UART TX = 0 | send_uart = 0 | bits_sent = 0011 | Distance =   234
Time=31460892000 | UART TX = 0 | send_uart = 0 | bits_sent = 0100 | Distance =   234
